material,cases,pred_directional,p_directional,confidence,review_status
MDF NATURAL TSCA 15MM,107,True,0.6193,0.6193,REVIEW_WEB_MANUAL
MDF MEL DURANGO FORESTA 15MM 2C,103,False,0.3252,0.6748,REVIEW_WEB_MANUAL
TRIPLAY OKUME IMPORTADO 16MM (5/8) 4X8,99,False,0.2993,0.7007,REVIEW_WEB_MANUAL
FIBROPLUS BLANCO 2.60X1.83,97,False,0.0078,0.9922,AUTO_HIGH
MDF SMART ROBLE SANTANA FORESTA 15MM 2C,94,True,0.8942,0.8942,REVIEW_WEB_MANUAL
MDF BLANCO CRISTAL TEXT SOFT 15MM 2C,93,False,0.0139,0.9861,AUTO_HIGH
F Plus 03mm Blanco 1.83x2.60m 1422748-1670816 (603,88,False,0.0321,0.9679,AUTO_HIGH
MDF BLANCO REGIO 8685 1.22 X 2.44 15MM 2C,88,False,0.0353,0.9647,AUTO_HIGH
MDF SMART CAIRO LINO TOUCH 15MM 2C,85,False,0.4005,0.5995,REVIEW_WEB_MANUAL
MDF NOGAL PAKAN TEXT BRETT 15MM 2C,80,True,0.8799,0.8799,REVIEW_WEB_MANUAL
TRIPLAY CHILENO BC 15MM (5/8) 4X8,78,False,0.1876,0.8124,REVIEW_WEB_MANUAL
EGGER MDF BLANCO W954 ST14 PG01,77,False,0.0375,0.9625,AUTO_HIGH
MEL EN AGLO BLANCO TUNDRA FAPLAC,77,False,0.0168,0.9832,AUTO_HIGH
Melamina Blanco 18mm,77,False,0.0109,0.9891,AUTO_HIGH
MELAMINA FAPLAC 18MM BLANCO TUNDRA S.MDF,75,False,0.0123,0.9877,AUTO_HIGH
MDF SMART ENCINO POLAR FORESTA 15MM 2C,74,True,0.8575,0.8575,REVIEW_WEB_MANUAL
MDF NOGAL NEO FORESTA 15MM 2C,73,True,0.7319,0.7319,REVIEW_WEB_MANUAL
MDF NATURAL 3MM 4X8 (1/8),73,False,0.4738,0.5262,REVIEW_WEB_MANUAL
MELAMINA FAPLAC NATURE CARVALHO MEZZO 18mm 2.75 X,71,True,0.9221,0.9221,AUTO_HIGH
FIBRO PLUS BLANCO 3MM,69,False,0.0014,0.9986,AUTO_HIGH
MELAMINA FAPLAC BLANCO 18MM 2.75 X 1.83,68,False,0.0104,0.9896,AUTO_HIGH
SBCO18 SADEPAN BLANCO 18MM 1.81 X 2.81 [SKU:10555],67,False,0.0685,0.9315,AUTO_HIGH
MELAMINA FAPLAC BLANCO TUNDRA 18mm 2.75X1.83,67,False,0.0116,0.9884,AUTO_HIGH
MDF NOGAL BRITANICO FORESTA 15MM 2C,66,True,0.8573,0.8573,REVIEW_WEB_MANUAL
MDF NATURAL 12MM 4X8 (1/2),66,True,0.7314,0.7314,REVIEW_WEB_MANUAL
MDF SMART NEGRO 15MM 2C,64,False,0.1348,0.8652,REVIEW_WEB_MANUAL
MDF NEGRO LABRADA 15MM 2C,63,False,0.0641,0.9359,AUTO_HIGH
TRIPLAY CHILENO BC 18MM (3/4),63,False,0.412,0.588,REVIEW_WEB_MANUAL
TRUPAN MDF MELAMINA GRIS CENIZA 18mm 2.75X1.83,62,False,0.0243,0.9757,AUTO_HIGH
TRUPAN MDF MELAMINA BLANCO TUNDRA 18mm 2.75X1.83,61,False,0.0082,0.9918,AUTO_HIGH
BLANCO 18MM MDF EGGER,61,False,0.1033,0.8967,REVIEW_WEB_MANUAL
MDF SMART FRESNO BRUMA FORESTA 15MM 2C,59,True,0.6295,0.6295,REVIEW_WEB_MANUAL
MDF MEL ANAHUAC FORESTA 15MM 2C,59,False,0.291,0.709,REVIEW_WEB_MANUAL
Mdf Blanco 18mm 1.30x1.83m W954 ST14 (101098),58,False,0.042,0.958,AUTO_HIGH
MDF MEL MONARCA FORESTA 15MM 2C,56,False,0.4074,0.5926,REVIEW_WEB_MANUAL
MAQ. ALTO BR SUNNY WHITE 18MM 285X122,56,True,0.9208,0.9208,AUTO_HIGH
TRUPAN MDF MELAMINA GRAFITO 18mm 2.75X1.83,56,False,0.0276,0.9724,AUTO_HIGH
MDF MALTA FORESTA 15MM 2C,55,False,0.2281,0.7719,REVIEW_WEB_MANUAL
FONDO FAPLAC 3MM BLANCO 135,54,False,0.0187,0.9813,AUTO_HIGH
MDF NOGAL PARAMO TEXT BRETT 15MM 2C,53,True,0.936,0.936,AUTO_HIGH
MDF MEL ROBLE MERIDA FORESTA 15MM 2C,53,True,0.9034,0.9034,AUTO_HIGH
MDP MEL BCO REGIO 8685 2.80X2.07 15MM 2C,52,True,0.596,0.596,REVIEW_WEB_MANUAL
MDF ENCHAPADO OKUME CO 16MM,51,True,0.864,0.864,REVIEW_WEB_MANUAL
MELAMINA MDP BLANCO 18MM 2.60X1.83,51,False,0.0269,0.9731,AUTO_HIGH
MDF GRIS CLARO TEXT SOFT 15MM 2C,50,False,0.1279,0.8721,REVIEW_WEB_MANUAL
LISTON OKUME PLUS 16MM 4X8,50,False,0.3297,0.6703,REVIEW_WEB_MANUAL
MEL EN MDF GRAFITO FAPLAC,49,False,0.0258,0.9742,AUTO_HIGH
MEL EN MDF CAJU FAPLAC,49,True,0.9268,0.9268,AUTO_HIGH
TRUPAN MDF FOLIO BLANCO 3mm 2.60X1.83,49,False,0.0041,0.9959,AUTO_HIGH
MDF BLANCO CALIDO TEXT SOFT 15MM 2C,48,False,0.0245,0.9755,AUTO_HIGH
MDF MEL LATTE FORESTA 15MM 2C,48,False,0.2656,0.7344,REVIEW_WEB_MANUAL
MDF OPORTO FORESTA 15MM 2C,48,False,0.2118,0.7882,REVIEW_WEB_MANUAL
MDF SMART MWENGE 15MM 2C,48,True,0.6245,0.6245,REVIEW_WEB_MANUAL
Fibroplus BLANCO 3mm 2600x1830,47,False,0.0114,0.9886,AUTO_HIGH
MDF SMART CEREZO MATE 15MM 2C,46,True,0.8997,0.8997,REVIEW_WEB_MANUAL
MDF NATURAL 18MM 4X8 (3/4),46,True,0.8446,0.8446,REVIEW_WEB_MANUAL
MDF MEL NIQUEL MATE 15MM 2C,45,False,0.2978,0.7022,REVIEW_WEB_MANUAL
TRUPAN MDF MELAMINA NEGRO 18mm 2.75X1.83,45,False,0.1911,0.8089,REVIEW_WEB_MANUAL
MDF SMART VISON MATE 15MM 2C,43,False,0.4458,0.5542,REVIEW_WEB_MANUAL
MDF BLANCO CRISTAL TEXT SOFT 15MM 1C,43,False,0.014,0.986,AUTO_HIGH
BLANCO MDF 18mm 2600x1830,42,False,0.0269,0.9731,AUTO_HIGH
MDF MEL CHARDONNAY FORESTA 15MM 2C,42,False,0.3342,0.6658,REVIEW_WEB_MANUAL
E18U999ST9 NEGRO LISO AGLO 18X183X260 [SKU:8069],42,False,0.0975,0.9025,AUTO_HIGH
AGL 2C BLANCO 15MM S,42,False,0.0033,0.9967,AUTO_HIGH
TRUPAN MDF MELAMINA GRIS HUMO 18mm 2.75X1.83,41,False,0.1397,0.8603,REVIEW_WEB_MANUAL
MDF SMART OXFORD 15MM 2C,39,False,0.4646,0.5354,REVIEW_WEB_MANUAL
MDP MEL BCO REGIO 8685 1.22 x 2.44 15MM,39,True,0.5335,0.5335,REVIEW_WEB_MANUAL
MDF MEL WENGE 0854 1.220 X 2.440 15MM 2C,38,True,0.6736,0.6736,REVIEW_WEB_MANUAL
AGL 2C BLANCO 19MM S,38,False,0.0361,0.9639,AUTO_HIGH
AGL ECO 2C BLANCO 15MM S,38,False,0.0103,0.9897,AUTO_HIGH
TAB. ALTO BR CASHMERE 18MM 285X122,37,True,0.8609,0.8609,REVIEW_WEB_MANUAL
TRIPLAY OKUME IMPORTADO 4.6 MM (1/4) 4X8,37,False,0.1981,0.8019,REVIEW_WEB_MANUAL
MELAMINA FAPLAC BLANCO TUNDRA 18MM S.AGLOM,37,False,0.007,0.993,AUTO_HIGH
MDF SMART EBANO INDI FORESTA 15MM 2C,36,True,0.7303,0.7303,REVIEW_WEB_MANUAL
MEL EN MDF OLMO FINLANDES FAPLAC,36,True,0.9959,0.9959,AUTO_HIGH
MDF SMART BLANCO MATE 15MM 1C,35,False,0.0131,0.9869,AUTO_HIGH
MDF MEL SISAL FORESTA 15MM 2C,34,False,0.3053,0.6947,REVIEW_WEB_MANUAL
MDF NATURAL 11 MM 4X8,34,True,0.5175,0.5175,REVIEW_WEB_MANUAL
E18U963ST9 GRISSOMBRA AGLO 18X183X260 [SKU:8060],34,False,0.0264,0.9736,AUTO_HIGH
PLACA A PEDIDO LISOS 275X183 [SKU:1040031],34,False,0.3688,0.6312,REVIEW_WEB_MANUAL
MEL EN MDF CENIZA FAPLAC,33,False,0.048,0.952,AUTO_HIGH
MEL EN MDF NEGRO PROFUNDO FAPLAC,33,False,0.1536,0.8464,REVIEW_WEB_MANUAL
MDF MEL SATIN 7045 1.22 X 2.44 15MM 2C,33,False,0.3978,0.6022,REVIEW_WEB_MANUAL
TRIPLAY CHILENO BC 12MM (1/2) 4X8,33,False,0.3192,0.6808,REVIEW_WEB_MANUAL
MDF CARRARA NEGRO MATE 15MM 2C,33,False,0.119,0.881,REVIEW_WEB_MANUAL
MDF NEGRO 15 MM 2 CARAS 4 X 8 ARAUCO,33,False,0.1294,0.8706,REVIEW_WEB_MANUAL
MEL EN MDF SCOTCH FAPLAC,32,True,0.9702,0.9702,AUTO_HIGH
MDF OXFORD LABRADA 15MM 2C,32,False,0.2361,0.7639,REVIEW_WEB_MANUAL
LISTON OKUME PLUS 18MM 4X8,32,False,0.4406,0.5594,REVIEW_WEB_MANUAL
MDF RIOJA 15 MM 2 CARAS 4 X 8 ARAUCO,32,False,0.3695,0.6305,REVIEW_WEB_MANUAL
MELAMINA SADEPAN 18MM RIVIERA D99 VALIANT S.AGLOM,31,True,0.9565,0.9565,AUTO_HIGH
EDK MDF U963ST9 G Sombra 18mmx2.60m1419882 (419882,31,False,0.0215,0.9785,AUTO_HIGH
Mdf Roble Nebraska Natural 18mm 2.60x1.83m H3331 (121108),31,True,0.9638,0.9638,AUTO_HIGH
MDF ALTO BRILLO BCO 18 MM 4 X 8 GI,31,False,0.328,0.672,REVIEW_WEB_MANUAL
FIBROFACIL 4MM 2.60X1.83,30,False,0.0215,0.9785,AUTO_HIGH
MEL EN MDF CAMELLIA FAPLAC,30,True,0.9404,0.9404,AUTO_HIGH
TRIPLAY OKUME IMPORTADO 12 MM (1/2) 4X8,30,False,0.1706,0.8294,REVIEW_WEB_MANUAL
MDF MEL AMBAR FORESTA 15MM 2C,30,False,0.4871,0.5129,REVIEW_WEB_MANUAL
MDF TULUM 15 MM 4X8,30,False,0.0457,0.9543,AUTO_HIGH
TRUPAN MELAMINA BLANCO TUNDRA 18MM 2.75X1.83,30,False,0.0111,0.9889,AUTO_HIGH
MDF FIORANO NAVETTA 15 MM 4X8,30,False,0.4233,0.5767,REVIEW_WEB_MANUAL
MDP TEKA ARTICO 15MM 2C 2.50X1.83(6X8),29,True,0.9161,0.9161,AUTO_HIGH
EGGER AGLO BLANCO W954 ST14 PG01,29,False,0.0683,0.9317,AUTO_HIGH
MDF NATURAL 5.5 MM 4X8,29,False,0.3468,0.6532,REVIEW_WEB_MANUAL
MEL EN AGLO BLANCO TEXTURA FAPLAC,29,False,0.1483,0.8517,REVIEW_WEB_MANUAL
EMDF18W954SM BLANCO LACA 18X183X260 [SKU:1059],29,False,0.0201,0.9799,AUTO_HIGH
MDF NATURAL 15MM 4X8 (5/8),29,True,0.5899,0.5899,REVIEW_WEB_MANUAL
E15W954ST14 BLANCO ABSOLUTO AGLO 15X183X260 [SKU:1054],28,False,0.0195,0.9805,AUTO_HIGH
MEL EN MDF HELSINKI FAPLAC,28,True,0.9893,0.9893,AUTO_HIGH
MDF PREC CENIZA FORESTA 15MM 2C,28,False,0.0221,0.9779,AUTO_HIGH
MDF WENGUE 15 MM 2 CARAS 4 X 8 ARAUCO,28,True,0.755,0.755,REVIEW_WEB_MANUAL
TRIPLAY OKUME IMPORTADO 19MM (3/4) 4X8,27,False,0.3997,0.6003,REVIEW_WEB_MANUAL
MDF FAPLAC FONDO BLANCO 3MM,27,False,0.0045,0.9955,AUTO_HIGH
MDF MEL TULUM MATE 15MM 2C,27,False,0.2519,0.7481,REVIEW_WEB_MANUAL
SMDF 18 TXT303-NEGRO PROFUNDO,27,False,0.1124,0.8876,REVIEW_WEB_MANUAL
MEL MDF PARAISO 18MM 2750X1830,27,True,0.9761,0.9761,AUTO_HIGH
Fibroplus Blanco 3mm,27,False,0.0038,0.9962,AUTO_HIGH
Mdf Gris Macadan 18mm 2.60x1.83m U732 ST9 (121048),27,False,0.0234,0.9766,AUTO_HIGH
Mdf Blanco 15mm 2.60x1.83m W954 ST14 (22313),27,False,0.0103,0.9897,AUTO_HIGH
EMDF18DESNUDO PINO 18X183X260 [SKU:4007],27,True,0.8477,0.8477,REVIEW_WEB_MANUAL
TRUPAN MELAMINA BLANCO 18MM 2.75X1.83,26,False,0.0281,0.9719,AUTO_HIGH
Mdf Roble Kendal Natural 18mm 2.60x1.83m H3170 (121069),26,True,0.9689,0.9689,AUTO_HIGH
TABLERO EUCA 20MM 1.22 X 3.05,26,True,0.9648,0.9648,AUTO_HIGH
MDF ROBLE LYCAN TEX M03 15MM 2C 4X8,26,True,0.946,0.946,AUTO_HIGH
Mdf Pino Cascina 18mm 2.60x1.83m H1401 ST22 (121132),26,True,0.9919,0.9919,AUTO_HIGH
MDF NATURAL 09MM 4X8 (3/8),26,True,0.7466,0.7466,REVIEW_WEB_MANUAL
TRIPLAY ENCINO 15MM (5/8) 4X8,26,True,0.6384,0.6384,REVIEW_WEB_MANUAL
EURODEKOR MDF GRIS ARCILLA 18MM U727 ST9,26,False,0.0022,0.9978,AUTO_HIGH
RAPIWALL BLANCO 2.60X1.83,25,False,0.1114,0.8886,REVIEW_WEB_MANUAL
EMDF18U999ST9 NEGRO LISO 18X183X260 [SKU:8006],25,False,0.0797,0.9203,AUTO_HIGH
EGGER MDF ROBLE KENDAL NATURAL H3170 ST12 PG03,25,True,0.9647,0.9647,AUTO_HIGH
FEELNESS CASHMERE 5981 GL 2.80X1.22 18MM,25,True,0.8791,0.8791,REVIEW_WEB_MANUAL
AGLO CRUDO FAPLAC 12MM 2750X1830MDP,25,False,0.2016,0.7984,REVIEW_WEB_MANUAL
Mdf Negro Liso 18mm 2.60x1.83m U999 ST9 (121631),25,False,0.0927,0.9073,AUTO_HIGH
TRUPAN MDF MELAMINA MESOP JADE 18MM 2.75 X 1.83,25,False,0.1832,0.8168,REVIEW_WEB_MANUAL
MELAMINA FAPLAC NATURE TEKA ARTICO 18mm 2.75 X 1.8,25,True,0.9723,0.9723,AUTO_HIGH
MDF NOGAL ALHAMBRA TEX M16 15MM 2C,24,True,0.7455,0.7455,REVIEW_WEB_MANUAL
TRUPAN MDF MELAMINA BLANCO 18MM 2.75X1.83,24,False,0.0193,0.9807,AUTO_HIGH
FIBROFACIL MDF 03MM 1.83 X 2.60,24,False,0.0064,0.9936,AUTO_HIGH
MDF NOGAL ALBURA NAVETTA,24,True,0.9393,0.9393,AUTO_HIGH
MDF NATURAL 12 MM 4 X 8,24,False,0.49,0.51,REVIEW_WEB_MANUAL
SMDF 18 TXT107-GRAFITO,24,False,0.0173,0.9827,AUTO_HIGH
FIB MEL BLANCO 15MM 2.60X1.83,24,False,0.0028,0.9972,AUTO_HIGH
MDF MEL TEXTIL 5437 2.800 X 2.070 15MM 2C,24,False,0.2815,0.7185,REVIEW_WEB_MANUAL
SMDF 18 BAR142-SCOTCH,23,True,0.9679,0.9679,AUTO_HIGH
MDF FAPLAC BLANCO 18MM TUNDRA,23,False,0.0041,0.9959,AUTO_HIGH
TRUPAN MELAMINA SCOTCH 18MM 2.75X1.83,23,True,0.9563,0.9563,AUTO_HIGH
MDF NOGAL ABISMO TEXT BRETT 15MM 2C,23,True,0.859,0.859,REVIEW_WEB_MANUAL
MEL EN MDF GAUDI FAPLAC,23,True,0.9745,0.9745,AUTO_HIGH
PANELART PRECOMPUESTO CENIZA FORESTA 16M,23,False,0.0966,0.9034,AUTO_HIGH
TRUPAN MDF MELAMINA NATURE GAUDI 18mm 2.75 X 1.83,23,True,0.9224,0.9224,AUTO_HIGH
TRUPAN MDF MELAMINA BLANCO 15mm 2.75X1.83,23,False,0.0074,0.9926,AUTO_HIGH
FEELNESS SATIN 7045 GL 2.80X1.22 18MM,22,True,0.8027,0.8027,REVIEW_WEB_MANUAL
MDF BLANCO FROSTY 6X8,22,False,0.0012,0.9988,AUTO_HIGH
EMDF3U999ST9 NEGRO LISO 3X183X260 [SKU:8076],22,False,0.0759,0.9241,AUTO_HIGH
MDF SMART GRIS OBSCURO 15MM 2C,22,False,0.2581,0.7419,REVIEW_WEB_MANUAL
EGGER MDF GRIS SOMBRA U963 ST9M PG03,22,False,0.0456,0.9544,AUTO_HIGH
MELAMINA FAPLAC NORDICO OLMO FINLANDES 18mm 2.75 X,22,True,0.9943,0.9943,AUTO_HIGH
MDF FRESNO INVIERNO TEXT BRETT 15MM 2C,22,True,0.7999,0.7999,REVIEW_WEB_MANUAL
MDF NATURAL 3 MM 4 X 8,22,True,0.523,0.523,REVIEW_WEB_MANUAL
MDF MEL GREIGE CASTELL OAK K357 1.22X2.44 15MM 2C,21,True,0.6704,0.6704,REVIEW_WEB_MANUAL
MDF NOGAL NAVETTA 15 MM 4X8,21,True,0.8184,0.8184,REVIEW_WEB_MANUAL
SMDF 15 TXT135-BLANCO,21,False,0.0021,0.9979,AUTO_HIGH
Mdf Blanco Alpino 18mm 2.60x1.83m W1100 ST9 (121120),21,False,0.0227,0.9773,AUTO_HIGH
MDF MALTA 15MM 4 X 8 ARAUCO,21,False,0.3006,0.6994,REVIEW_WEB_MANUAL
E18H3331ST10 ROBLEDENEBRASKANATURAL AGLO 18X183X26 [SKU:8074],20,True,0.9711,0.9711,AUTO_HIGH
MDP MARMARA 15MM 2C 2.50 X 1.83 (6X8),20,False,0.384,0.616,REVIEW_WEB_MANUAL
EDK MDF W954ST14 Blanco 5.5mmx2.60m1419785 (419785,20,False,0.0037,0.9963,AUTO_HIGH
MDF NOGAL MIEL TEX M06 15MM 2C 4X8,20,True,0.9044,0.9044,AUTO_HIGH
FAPLAC FONDO BLANCO 3MM 2.60X1.83,20,False,0.0068,0.9932,AUTO_HIGH
FEELNESS CASHMERE 5981 MA 2.80X1.22 18MM,20,True,0.8765,0.8765,REVIEW_WEB_MANUAL
FIBROFACIL ENCHAPADO PARAISO 18MM 2.60X1.83,20,True,0.7563,0.7563,REVIEW_WEB_MANUAL
MDF MEL BRANDY CASTELL OAK K359 1.22X2.44 15MM 2C,19,True,0.83,0.83,REVIEW_WEB_MANUAL
Mdf Gris Sombra 18mm 2.60x1.83m U963 ST9 (121060),19,False,0.0294,0.9706,AUTO_HIGH
E18H3730ST10 HICKORYNATURAL AGLO 18X183X260 [SKU:8072],19,True,0.9645,0.9645,AUTO_HIGH
EMDF18U963ST9 GRISSOMBRA 18X183X260 [SKU:8005],19,False,0.019,0.981,AUTO_HIGH
MDP LOMBARDIA 15MM 2C 2.50X1.83(6X8),19,True,0.5252,0.5252,REVIEW_WEB_MANUAL
